,Input qustion sentence,Actual sql Translation,Prideccted
4046,what is rhiannon leier's lane?, select lane from table where name = rhiannon leier , select lane from table where name = 
4047,what ist he country where the loan club is fulham?, select country from table where loan club = fulham , select country from table where runners-up = chris manufacturer 
4048,what is the nationality of bob essensa?, select nationality from table where player = bob essensa , select nationality from table where player = bob tway 
4049,which home team scored 19.18 (132)?, select home team from table where home team score = 19.18 (132) , select home team from table where home team score = win 
4050,who was the home team when the away team scored 8.7 (55)?, select home team from table where away team score = 8.7 (55) , select home team from table where away team score = 8.7 (55) 
4051,what is the highest number of wins for years after 1999 with averages over 73.02?, select max wins from table where average > 73.02 and year > 1999 , select max wins from table where year > 1990 and average > = from 
4052,what years did jersey number 55 play?, select years from table where jersey number(s) = 55 , select years from table where jersey number(s) = 55 
4053,what is the english word for the french word cheval?, select english from table where french = cheval , select english from table where french = mike 
4054,which over model has a 20 questions of edward burns?, select cover model from table where 20 questions = edward burns , select model from table where 20 questions = 20 
4055,which bronze has a gold smaller than 0?, select avg bronze from table where gold < 0 , select min bronze from table where gold < 0 
4056,how many episodes hve 4.50 million viewers?, select episode from table where uk viewers (million) = 4.50 , select episode from table where uk viewers (million) = name 
4057,what is the cfl team with #48 as the pick number?, select cfl team from table where pick # = 48 , select cfl team from table where pick # = 48 
4058,what is the chinese name of the player in index f10?, select chinese name from table where index = f10 , select chinese name from table where other names = 23 
4059,when was alexey kuleshov born?, select birth date from table where player = alexey kuleshov , select birth date from table where player = brad faxon 
4060,"which event resulted in a win for opponent, shane ott?", select event from table where res. = win and opponent = shane ott , select event from table where opponent = ufc 57 
4061,what is the home leg who are opponents of rotor volgograd, select home leg from table where opponents = rotor volgograd , select home ground from table where opponents = #2 of the york 
4062,on what date is there a status of five nations and an against of 23?, select date from table where status = five nations and against = 23 , select date from table where status = 23 and opposing teams = 23 
4063,what is the highest ga when gf is 39?, select max ga from table where gf = 39 , select max matches from table where finish = 42 
4064,how many opengl have the ironlake ( clarkdale ) code name?, select count opengl from table where code name = ironlake ( clarkdale ) , select count code from table where code name = score of spain 
4065,who wrote episode 94?, select written by from table where no. in series = 94 , select written by from table where no. in series = 49 
4066,what was the away team when the home was st kilda?, select away team from table where home team = st kilda , select away team from table where home team = st kilda 
4067,"how many countries in 2009 have fewer than 1 in 1999, more than 0 in 2006 and none in 1997?", select count 2009 from table where 1999 < 1 and 2006 > 0 and 1997 < 0 , select count 2009 from table where 2006 > 0 and draw < 0 and team = 0 
4068,who won the australian grand prix?, select race winner from table where race = australian grand prix , select winning constructor from table where grand prix = australian grand prix 
4069,what is the original air date of the episode with a production code of 105?, select original air date from table where prod. code = 105 , select original air date from table where production code = mike 
4070,name the 1970 film when 1951 bbc is michael croudson, select 1970 (film) from table where 1951 ( bbc ) = michael croudson ," select episode no. from table where bbc with the 1988 = michael 27, "
4071,i want to know the date for western oval venue, select date from table where venue = western oval , select date from table where venue = western oval 
4072,what is the fewest amount of races in any season?, select min races from table , select min races from table 
4073,which player is in round 5?, select player from table where round = 5 , select player from table where round = 5 
4074,who is the home team that scored 8.15 (63)?, select home team from table where home team score = 8.15 (63) , select home team from table where home team score = goals = bike 
4075,what was the percentage of safari when internet explorer was 20.27%?, select safari from table where internet explorer = 20.27% , select safari from table where internet explorer = 0 
4076,what was the placing of the race in which chic won by 8gf?, select placing from table where beat by = won and distance = 8gf , select distance from table where distance = 0 and year = vacancy 
4077,what was the area in glenella with a population of 522 in 2011?, select avg area (km²) from table where name = glenella and population (2011) < 522 , select area (km²) from table where population and population = # and name = mike joined 
4078,"when yusuke hatanaka was the stage winner in the tonton susanto general classification, what was the malaysian rider classification?", select malaysian rider classification from table where general classification = tonton susanto and stage winner = yusuke hatanaka , select general classification from table where general classification = patrick time/retired and winner = frank top-5 = 4 
4079,what is the home for the league 3rd liga (iii)?, select home from table where league = 3rd liga (iii) , select home from table where league = 3rd liga 
4080,what is the week of the game with tv time of fox 4:15et?, select count week from table where tv time = fox 4:15et , select count week from table where tv time = fox red 
4081,"how many wins when there are more than 19 points, place smaller than 12, and fewer than 30 played?", select sum wins from table where points > 19 and position < 12 and played < 30 ," select sum wins from table where points > 11 and position < 12 and player = lee 22, chassis "
4082,name the taxes from brqacket for percentage of income kept being 73%, select taxes from bracket: from table where percentage of income kept: = 73% , select country from table where population per capita income income = max 2 
4083,who was the winner when the result was 56-0 before 1935?, select winner from table where year < 1935 and result = 56-0 , select winner from table where year < 1973 
4084,what college team did milan kostolny play for?, select college/junior/club team from table where player = milan kostolny , select college/junior/club team from table where player = mark (2011) 
4085,what is the monounsaturated fat with 15g of saturated fat?, select monounsaturated fat from table where saturated fat = 15g , select fat from table where fat = yes and saturated (2011) = from 
4086,what's the hdr output of photovista panorama?," select hdr output ( exr , hdr, logluv , etc.) from table where name = photovista panorama ", select max population (2011) from table where altitude ( (in ) = / / a 
4087,what is the socket type for the processor with a multiplier 1 of 11.5x?, select socket from table where multiplier 1 = 11.5x , select frequency from table where callsign = = colors 
4088,what's the time for a round of n/a when the opponent is mikhail ilyukhin?, select time from table where round = n/a and opponent = mikhail ilyukhin , select time from table where round = win and opponent = 57 
4089,what is c-span 2009 when times 2008** is 08?, select c-span 2009 from table where times 2008** = 08 , select 2009 from table where top-25 = 27 
4090,"can you tell me the average total that has the silver larger than 1, and the bronze smaller than 8?", select avg total from table where silver > 1 and bronze < 8 , select avg total from table where silver > 1 and bronze < 8 
4091,what series have caroline flack as a main presenter?, select series from table where main presenter = caroline flack , select series from table where main series = = 7:30 
4092,how many points did joe o'meara have?, select count points from table where artist = joe o'meara , select count points from table where player = joe johnson 
4093,which nation has a record of 15.16 m?, select nation from table where record = 15.16 m , select nation from table where record = m 
4094,what was the lowest win% with an away score of 3-2 in 2011 season?, select min win % from table where away = 3-2 and season = 2011 , select min win from table where away = clay and season = 2011 
4095,when surviving suburbia aired at 8:00 what aired at 10:00?, select 10:00 from table where 8:00 = surviving suburbia , select 8:00 from table where 8:00 = october 
4096,what is the average pick of the kansas city chiefs?, select avg pick from table where team = kansas city chiefs , select avg pick from table where team = kansas city chiefs 
4097,what was the result on week 8?, select result from table where week = 8 , select result from table where week = 8 
4098,"what name was listed 02/21/1990, and a cerclis id of scd980844005?", select name from table where listed = 02/21/1990 and cerclis id = scd980844005 , select name from table where listed = 45 and cerclis id = 12 
4099,what school did the player who was with the grizzles in 2011 attend?, select school/club team from table where years for grizzlies = 2011 , select school/club team from table where years for grizzlies = 2011 
4100,"what was the manner of departure for the outgoing manager, giuseppe iachini?", select manner of departure from table where outgoing manager = giuseppe iachini , select manner of departure from table where outgoing manager = = wang 
4101,what was the attendance when fitzroy played as the away team?, select count crowd from table where away team = fitzroy , select count crowd from table where away team = fitzroy 
4102,what country does jocelyne bourassa play for?, select country from table where champion = jocelyne bourassa , select country from table where champion = other 
4103,what was the score when york city was home?, select score from table where home team = york city , select score from table where home team = york city 
4104,what school with a decile of 7 is in upper hutt?, select name from table where decile = 7 and area = upper hutt , select name from table where decile = 7 and area = alex from 
4105,who did the fastest lap when pole position was damon hill and the location was magny-cours?, select fastest lap from table where pole position = damon hill and location = magny-cours , select fastest lap from table where pole position = built and location = patrick > series 
4106,what loss has 4-2 as the record?, select loss from table where record = 4-2 , select loss from table where record = 4-3 
4107,i want the d 46 which has a d 44 of r 17, select d 46 from table where d 44 = r 17 , select d 46 from table where d 44 = r 17 
4108,what are the notes for 2005?, select notes from table where year = 2005 , select notes from table where year = 2005 
4109,name the languages for estonia, select languages from table where member countries = estonia , select contestant from table where member countries = 
4110,which player has a pi gp over 0 and a rd # of 1?, select player from table where pl gp > 0 and rd # = 1 , select player from table where pl gp > 0 and pick # = 1 
4111,in what round did someone from north carolina state get picked larger than 91?, select count round from table where school/club team = north carolina state and pick > 91 , select count round from table where school/club team = north carolina state > pick 
4112,what is the difference of the team with 12 points?, select difference from table where points = 12 , select difference from table where points = 12 
4113,who is the player when the place is t5 and the score is 69-74=143?, select player from table where place = t5 and score = 69-74=143 , select player from table where place = t5 and score = year 
4114,which year has a date of 5–6 february?, select avg year from table where date = 5–6 february , select avg year from table where date = 27 
4115,"who attended the school in 2009, that lakita hall attended in 2007?", select 2009 from table where 2007 = lakita hall , select 2009 from table where 2007 = a and 2007 = 3r 
4116,what was the production code for episode #1?, select production code from table where no. in series = 1 , select production code from table where episode # = 1 
4117,"what is the meaning of the latin day name ""dies saturni""?", select latin day name meaning from table where glossed from latin day name = dies saturni , select latin name name from table where company b birth = from table where = champion 
4118,for what competition was the venue away the n/a the man of the match?, select competition from table where venue = away and man of the match = n/a , select competition from table where venue = away and away team = collingwood 
4119,which nhl team got pick 89?, select nhl team from table where pick # = 89 , select nhl team from table where pick # = 56 
4120,"what kind of silver has a rank of 3, and a gold smaller than 2?", select count silver from table where rank = 3 and gold < 2 , select min silver from table where rank = 3 and gold < 2 
4121,which race has a distance of 201.44 miles?, select race from table where distance = 201.44 miles , select race from table where distance = album 
4122,what positions does tom hammond play?, select position from table where player = tom hammond , select position from table where player = tom watson 
4123,"what is the original air date for the episode ""a pig in a poke""?"," select original air date from table where title = ""a pig in a poke"" "," select original air date from table where title = ""the language and us open "
4124,who did the blue jays lose to when their record was 36-20?, select loss from table where record = 36-20 , select loss from table where record = grizzlies 
4125,available subnets leading total is?, select max available subnets from table , select max date from table where date = 22 
4126,which government has 57 seats?, select government from table where seats = 57 , select from table where seats = 57 
4127,who's the republican ticket with a democratic ticket of m. william bray?, select republican ticket from table where democratic ticket = m. william bray , select republican ticket from table where democratic ticket = thomas ticket ticket 
4128,what is the position of the player on the los angeles kings?, select position from table where nhl team = los angeles kings , select position from table where nhl team = toronto = notes 
4129,which home team corresponds to an away team score of 10.12 (72)?, select home team from table where away team score = 10.12 (72) , select home team from table where away team score = 4-3 
4130,"who was the leading scorer on november 2, 2007?"," select leading scorer from table where date = november 2, 2007 "," select leading scorer from table where date = november 2, 2007 "
4131,what team was the contestant who finished in 10th place originally on?, select original team from table where result = 10th place , select original team from table where result = 2nd and location = attendance 
4132,what is the tuesday 1 june total number if monday 31 may is 20' 15.35 111.761mph?, select count tues 1 june from table where mon 31 may = 20' 15.35 111.761mph , select count r 3 from table where r 31 = 20' wed total aaaaa 
4133,who was the first person elected in north carolina 8?, select first elected from table where district = north carolina 8 , select first elected from table where district = north carolina 8 
4134,what country has a territory of french guiana?, select country from table where territory = french guiana , select country from table where country = french capital 
4135,"which date has a score of 6–3, 7–6?"," select sum date from table where score = 6–3, 7–6 "," select date from table where score = 6–3, 7–6 "
4136,what day did north melbourne play as the home team?, select date from table where home team = north melbourne , select date from table where home team = north melbourne 
4137,what race did the team mi-jack conquest racing win with a pole position of andreas wirth?, select race name from table where winning team = mi-jack conquest racing and pole position = andreas wirth , select race name from table where winning team = winning driver = tim racing and position = re-elected 
4138,william fadjo cravens serves the fourth district of arkansas., select district from table where incumbent = william fadjo cravens , select district from table where incumbent = jim 2010 
4139,"which region has an area of 9,451km²?"," select region from table where area (km²) = 9,451 ", select region from table where area (km²) = 
4140,what is the largest played when the drawn is less than 1?, select max played from table where drawn < 1 , select max played from table where drawn < 1 
4141,name the power for dymd-fm, select power kw from table where callsign = dymd-fm , select power kw from table where callsign = from 
4142,what episode titles have 20.94 million u.s. viewers?, select title from table where u.s. viewers (millions) = 20.94 , select min no. from table where u.s. viewers (millions) = mike 
4143,what is the compression ratio whre the torque is 208?, select compression ratio from table where torque (n m) = 208 , select ratio from table where max. torque = result 
4144,what is the home team score of the ghantoot racing and polo club ground?, select home team score from table where ground = ghantoot racing and polo club , select home team score from table where ground = t6 and player = john runs 
4145,"what is the catalog with a date that is march 13, 2002?"," select catalog from table where date = march 13, 2002 "," select catalog from table where date = march 13, 2002 "
4146,what championship had francesca schiavone in the finals?, select championship from table where opponent in the final = francesca schiavone , select championship from table where opponent in the final = david played 
4147,what is the highest tie that had 19129 attendance?, select max tie no from table where attendance = 19129 , select max tie no from table where attendance = against 
4148,what season has goals greater than 0 and less than 33 apps?, select season from table where goals > 0 and apps < 33 , select season from table where pos. > 0 and league < 33 
4149,"what tries for has a team of neath, and points against larger than 109?", select sum tries for from table where team = neath and points against > 109 , select sum tries for from table where team = points for > 109 
4150,how many records are there at the war memorial stadium?, select count record from table where stadium = war memorial stadium , select count record from table where stadium = stadium 
4151,how many u.s. viewers (millions) have 5 as the season #?, select u.s. viewers (millions) from table where season # = 5 , select u.s. viewers (millions) from table where season # = 5 
4152,name the total number of opponets for 05/09/2009, select count opponent from table where date = 05/09/2009 , select count opponent from table where date = election 
4153,who was the opponent during the competition in which the bowling figures were 5-33 (10)?, select versus from table where bowling figures wickets-runs (overs) = 5-33 (10) ," select final from table where head coach = andre 22, result "
4154,what is the number of games lost when goal difference is +13 and draws are more than 12?, select count lost from table where goal difference = +13 and drawn > 12 , select min lost from table where goal difference = difference and against = 12 
4155,"what number episode in the series was titled ""wally's pug nose""?"," select no. in series from table where title = ""wally's pug nose"" ", select no. in series from table where title = 12 
4156,name the minimum derby county goals, select min derby county goals from table , select min county goals from table 
4157,what transfer fee did birmingham city get on 30 june 2010?, select transfer fee from table where ends = 30 june 2010 and moving from = birmingham city , select transfer fee from table where country = 30 june 30 and moving = 20 
4158,what is the sum of people per km2 for the sandoy region with an area of 112.1?, select sum people per km² from table where regions = sandoy and area = 112.1 , select sum total per capita from table where headquarters = # of 32 
4159,"what was the highest attendance of february 7, 2009 and more than 49 points?"," select max attendance from table where date = february 7, 2009 and points > 49 ", select max attendance from table where date = 7 february 2009 and points > 7 
4160,what place did russia finish in?, select count placing from table where team = russia , select finish from table where country = india 
4161,what is the party for first elected 1948 for william t. granahan, select party from table where first elected = 1948 and incumbent = william t. granahan , select party from table where first elected = re-elected and incumbent = james first artist = lap 
4162,what is the pos with more than 1 tier during pokal slovenije 1. round?, select pos. from table where tier > 1 and cup competitions = pokal slovenije 1. round , select pos. from table where tier > 1 and tournament = 16 womens open 
4163,what rank is the silver bell mine of pima county?, select rank from table where county = pima and mine = silver bell , select rank from table where county = dave and bronze = silver > 
4164,how many million u.s. viewers watched the episode with a production code of 2t7004?, select u.s. viewers (millions) from table where production code = 2t7004 , select u.s. viewers (millions) from table where production code = against 
4165,"what is opponent, when round is world group?", select opponent from table where round = world group , select opponent from table where competition = world world championships 
4166,what counties mascot are the red ramblers?, select county from table where mascot = red ramblers , select county from table where mascot = tigers 
4167,which title has an 1825 end term?, select title from table where end term = 1825 , select title from table where end term = end 
4168,"what city had a crowd larger than 11,346 and score of 24-16?"," select city from table where crowd > 11,346 and score = 24-16 ", select city from table where crowd > region and score = montreal 
4169,which major metropolitan area had a land area of 23.80?, select metropolitan area from table where land area (mi 2 ) = 23.80 , select area from table where area (km²) = # of victory = ranking 
4170,what is the nationality of the player who has a pick lower than 33 and a school/club team of vanderbilt?, select nationality from table where pick < 33 and school/club team = vanderbilt , select nationality from table where pick < 33 and team = dallas 
4171,"when the year is smaller than 2004, and mike joy is the lap-by-lap, what are the ratings?", select ratings from table where year < 2004 and lap-by-lap = mike joy , select established from table where year < 2004 and mark = mike netflix 
4172,what was willie wood's to par?, select to par from table where player = willie wood , select to par from table where player = thomas brooks 
4173,"what's the ht for the model released on june 4, 2008?"," select ht from table where release date = june 4, 2008 "," select min points from table where release date = june 4, 2008 "
4174,what was the release date for metronome?, select release date from table where title = metronome , select release date from table where title = alex 
4175,what engine has g tyres and is driven by elio de angelis?, select engine from table where tyres = g and driver = elio de angelis , select engine from table where engine = maserati and driver = 33 and player = tiger woods 
4176,what is the tournament with a margin of victory that was 4 strokes?, select tournament from table where margin of victory = 4 strokes , select tournament from table where margin of victory = 4 strokes 
4177,how many points did art renner have?, select count points from table where player = art renner , select sum points from table where player = bill primary 
4178,what day did the team play week 13?, select date from table where week = 13 , select date from table where week = 13 
4179,how many steals for the player who had 121 rebounds?, select min steals from table where rebounds = 121 , select min steals from table where rebounds = 34 
4180,how many episodes did matthew penn direct before season 22?, select count series # from table where season # < 22 and directed by = matthew penn , select count no. in season from table where season < 1983 and directed by = tim (2011) 
4181,which country's iata is ika?, select country from table where iata = ika , select country from table where iata = date = latin 
4182,"when the %2001 is more than 61.4, and the %2006 fewer than 54.1, how many seats in 2001 were there?", select sum seats 2001 from table where % 2001 > 61.4 and % 2006 < 54.1 , select count seats 2001 from table where % 2001 > 80 and % 2001 < 1r 
4183,what country is jack nicklaus from?, select country from table where player = jack nicklaus , select country from table where player = jack nicklaus 
4184,"in the final, who are the opponents of partner simon aspelin?", select opponents in the final from table where partner = simon aspelin , select opponents in the final from table where partner = robert kingdom 
4185,what is the career sr when 1985 is grand slams?, select career sr from table where 1985 = grand slams , select career sr from table where 1985 = grand prix 
4186,"what is nat., when name is ""fàbregas ( captain )""?", select nat. from table where name = fàbregas ( captain ) , select nat. from table where name of license = andy type 
4187,what time was the acc team #17 wake forest?, select time from table where acc team = #17 wake forest , select time from table where team = oakland of incumbent = story 
4188,name the total number of points for 46 tries for, select count points from table where tries for = 46 , select count points from table where tries for = 46 
4189,which score has a series of flyers lead 3–2?, select score from table where series = flyers lead 3–2 , select score from table where series = lead 51 
4190,"which authority has a gender of coed, a decile smaller than 6, and an area of merivale?", select authority from table where gender = coed and decile < 6 and area = merivale , select authority from table where decile < 6 and decile = state and area = 40 
4191,what was the production code of the episode written by brendan cowell?, select production code from table where writer = brendan cowell , select production code from table where written by = matthew against 
4192,"what is the lowest episode # with an air date of october 31, 2001?"," select min episode # from table where airdate = october 31, 2001 "," select min episode # from table where airdate = october 25, 2001 "
4193,"what is the highest position, when pilot is ""mario kiessling""?", select max position from table where pilot = mario kiessling , select max position from table where pilot = 7th 
4194,name the number of location for 22-1, select count location from table where record = 22-1 , select count location from table where record = from 
4195,what is the segment a for the episode with children's ride-on cars for segment d?, select segment a from table where segment d = children's ride-on cars , select segment a from table where segment d = s s 
4196,what 2009 has 345 as the 2007?, select 2009 from table where 2007 = 345 , select 2009 from table where 2007 = from 
4197,when salt of this sea is the english title who is the director?, select director from table where english title = salt of this sea , select director from table where english title = the language 
4198,who is the candidate for the district arkansas 2?, select candidates from table where district = arkansas 2 , select candidates from table where district = louisiana 2 
4199,"what is 2009, when 2000 is 1r, and when 1998 is 3r?", select 2009 from table where 2000 = 1r and 1998 = 3r , select 2009 from table where 2000 = 1r and 1998 = 3r 
4200,what year has a ratt of 1 and a comp of 49?, select year from table where ratt = 1 and comp = 49 , select year from table where draw = 1 and sport = jim for 
4201,name the most number when tournament is madrid masters, select max no. from table where tournament = madrid masters , select max no. from table where tournament = us open 
4202,who are all the runner-up for premier in richmond, select runner-up from table where premier = richmond , select runner-up from table where premier = richmond 
4203,"what is the fewest mintage from dora de pédery-hunt, and the year was before 2002?", select min mintage from table where artist = dora de pédery-hunt and year < 2002 , select min mintage from table where artist = in team the 7–6 and year < 2002 
4204,what year was the guard who currently plays for the memphis grizzlies born?, select year born from table where position = guard and current club = memphis grizzlies , select year from table where position = guard and school/club team = division grizzlies and competition = division where club = sum of votes 
4205,which score has a record of 36–61?, select score from table where record = 36–61 , select score from table where record = against 
4206,on which ground did the team play aston villa?, select ground from table where opponent = aston villa ," select ground from table where opponent = team 27, 2007 "
4207,what was the record against boston?, select record from table where team = boston , select record from table where team = boston 
4208,in what year was his money list rank 3?, select min year from table where money list rank = 3 , select min year from table where money list rank = 3 
4209,what year did kyle newman place third?, select year from table where third = kyle newman , select year from table where third = outcome = second 
4210,"in the circuit showevent olympiastadion münchen, where the winning driver is bruno spengler, what is the pole position?", select pole position from table where winning driver = bruno spengler and circuit = showevent olympiastadion münchen , select pole position from table where winning driver = wins = colors 
4211,what is the new membership total if the members lost is bigger than 1.0?, select max new membership total from table where members lost > 1.0 , select max new $ ) from table where total earnings ( $ ) > min points < segment 
4212,who did they play in week 11?, select opponent from table where week = 11 , select opponent from table where week = 11 
4213,sébastien bourdais of the team newman/haas racing has what qual 1?, select qual 1 from table where team = newman/haas racing and name = sébastien bourdais , select qual 1 from table where team = team racing and chassis = score 
4214,how many years have a player name of ronnie bull?, select sum year from table where player name = ronnie bull , select sum year from table where player name = dallas nat. 
4215,what is the fatalities when the tail number was unknown and in kabul>, select fatalities from table where tail number = unknown and location = kabul , select fatalities from table where distance = no and number of departure = alex 
4216,what is the date for the 10b serial?, select date from table where serial = 10b , select date from table where serial = yes 
4217,what is the strain name of species thiomicrospira crunogena?, select strain from table where species = thiomicrospira crunogena , select species from table where species = (billion < launch 
4218,who were the candidates when shirley chisholm was the incumbent?, select candidates from table where incumbent = shirley chisholm , select candidates from table where incumbent = guillermo years 
4219,who wrote the lyrics for mukti?, select lyricist from table where film = mukti , select previous conference from table where year = 1993 
4220,what is the total crowd number for the away team of hawthorn?, select count crowd from table where away team = hawthorn , select count crowd from table where away team = hawthorn 
4221,what was the engine when ken downing drove an entrant from connaught engineering?, select engine from table where driver = ken downing and entrant = connaught engineering , select engine from table where entrant = alfa romeo and driver = 39 
4222,no decision listed above has a visitor of montreal., select decision from table where visitor = montreal , select decision from table where visitor = montreal 
4223,what is the score points when the total is 16?, select score points from table where total = 16 , select score points from table where total = 16 
4224,which route has a date of 2 july?, select route from table where date = 2 july , select length from table where date = 2 july 
4225,"what is the average frequency, when type is ""norteño"", and when brand is ""la cotorra""?", select avg frequency from table where type = norteño and brand = la cotorra , select avg frequency from table where type = red railway station 
4226,who is the the mens singles with mens doubles being kaj lindfors kaj osterberg, select mens singles from table where mens doubles = kaj lindfors kaj osterberg , select mens singles from table where mens singles = 7 
4227,when mark stimson started his job in 2007-08 what posiiton was the team on the table, select position in table from table where replaced by = mark stimson , select position from table where replaced by = david york 
4228,what rank is the airport in fortaleza?, select rank from table where location = fortaleza , select rank from table where location = 
4229,who was the winner/2nd place finisher in the caulfield guineas?, select winner/2nd from table where race = caulfield guineas , select place from table where race = time party = colors 
4230,which lane did the swimmer who had a reaction time of 0.185 and a time of 20.9 swim in?, select sum lane from table where react = 0.185 and time < 20.9 , select sum lane from table where react = time and time < title and min = 12 
4231,"what is height, when name is ""manuela zanchi""?", select height from table where name = manuela zanchi , select height from table where name = in away 
4232,"what is the highest matches, when prize money is £5,000?"," select max matches from table where prize money = £5,000 ", select max matches from table where prize money = from 
4233,in which season was the away record 2-2 and at home record 1-0?, select season from table where away = 2-2 and home = 1-0 , select season from table where home = los angeles 
4234,what's the location of the school having the panthers as a mascot with an aaa for the ihsaa class?, select location from table where ihsaa class = aaa and mascot = panthers , select location from table where ihsaa class = aaa and mascot = class 
4235,what years have claudia ruffo as the actor?, select years from table where actor = claudia ruffo , select years from table where actor = michael for = launch 
4236,what was the home team with the away team of rushden & diamonds?, select home team from table where away team = rushden & diamonds , select home team from table where away team = manager = innings 
4237,when bill oddie and frank skinner are both on the davids team what is the episode?, select episode from table where davids team = bill oddie and frank skinner , select episode from table where episode = 11 and frank # = 44 
4238,what is the minimum stolen ends record where the pa record is 40?, select min stolen ends from table where pa = 40 , select min stolen ends from table where ends = 40 
4239,what is the week with w 31-21 result?, select week from table where result = w 31-21 ," select avg week from table where result = w 22, "
4240,what company is the kit manufacturer that gareth southgate belongs to?, select kit manufacturer from table where captain = gareth southgate , select kit manufacturer from table where team = grid of columbia 
4241,what was the attendance on the bye week?, select attendance from table where date = bye , select attendance from table where date = bye 
4242,what was the course called that had an edition of 117th?, select course from table where edition = 117th , select course from table where edition = no. 
4243,what date sent has orion as the constellation?, select date sent from table where constellation = orion , select date lost from table where constellation = km 
4244,what concacaf champions league has 57 (27) as the league?, select concacaf champions league from table where league = 57 (27) , select champions league from table where league = 57 and max points = 36 
4245,"what was the result of the game that had 56,500 in attendance?"," select result from table where attendance = 56,500 ", select result from table where attendance = rank 
4246,name the chassis for ludwig fischer, select chassis from table where driver = ludwig fischer , select chassis from table where driver = roy date = 57 
4247,what date did the seahawks play the kansas city chiefs at the kingdome?, select date from table where game site = kingdome and opponent = kansas city chiefs , select date from table where game > 24 and opponent = kansas city 
4248,what is the best time for a rusport driver with a qual 2 time of 1:10.166?, select max best from table where team = rusport and qual 2 = 1:10.166 , select max best from table where team = 2 and qual = winnipeg 
4249,which title has a translation in it of 1000 lies?, select title from table where translation = 1000 lies , select title from table where translation = gary player 
4250,which women's doubles had the men's singles player kenichi tago?, select women's doubles from table where men's singles = kenichi tago , select women's doubles from table where women's singles = from table = winner 
4251,the ept german open was won by which listed winner?, select winner from table where event = ept german open , select winner from table where winner = team = ken for 
4252,what is the source for laird?, select source from table where name = laird , select source from table where name = alex 
4253,what is the average goals scored of the team who scored 44 points and placed higher than 5?, select avg goals scored from table where points = 44 and place > 5 , select avg goals against from table where points > 5 and points > 3 
4254,what rider went under 22 laps with grid number 2?, select rider from table where laps < 22 and grid = 2 , select rider from table where laps < 22 and grid = 2 
4255,what was the lowest water(sqmi) in the county of dickey where the longitude was smaller than -98.444062?, select min water (sqmi) from table where county = dickey and longitude < -98.444062 , select min water (sqmi) from table where county = (kg) and longitude < capacity 
4256,who made the car that won the race on may 21?, select manufacturer from table where date = may 21 , select manufacturer from table where date = may 21 
4257,"what is the sellout % when the gross sales is $1,727,400?"," select sellout (%) from table where gross sales = $1,727,400 ", select total passengers from table where gross revenue = west 
4258,what is the number of votes when ron paul is the candidate with less than 0 counties?, select count votes from table where candidate = ron paul and counties < 0 , select count votes from table where candidate = paul of the species and avg 0 < 10 
4259,what is tiffani johnson's maximum steals?, select max steals from table where player = tiffani johnson , select max highest goals from table where player = ryan joined 
4260,what is the mark for grenada in group a?, select mark from table where group = a and nationality = grenada , select mark from table where group = a and result = nominated 
4261,what was the total when the first was november 1966?, select sum total from table where first = november 1966 , select sum total from table where first = november 24 
4262,what was the maximum total usd collected by pebble technology?, select max total usd from table where creator = pebble technology , select max total passengers from table where standard ( £ ) = hard 
4263,how many rebounds did maccabi tel aviv team get after game 6?, select count rebounds from table where team = maccabi tel aviv and games > 6 , select count rebounds from table where team = team from table where sub-parish 45 and game = 6 
4264,name the capacity for the torque of n·m (lb·ft) @4150, select capacity from table where torque (nm)/rpm = n·m (lb·ft) @4150 , select capacity from table where max. length = result = wins 
4265,how many years have an opponent in the final of welby van horn?, select sum year from table where opponent in the final = welby van horn , select sum year from table where opponent in the final = tim count venue = position 
4266,on what date is sheffield wednesday the home team?, select date from table where home team = sheffield wednesday , select date from table where home team = sheffield wednesday 
4267,what is the average election result for the province of grosseto from 1766 and prior?, select avg election from table where province = grosseto and established < 1766 , select avg election from table where province = of and area = score 
4268,who directed the film antonio's breakfast?, select director(s) from table where film = antonio's breakfast , select director(s) from table where film = yes 
4269,which year did the school with enrollment of 413 join?, select year joined from table where enrollment = 413 , select year joined from table where enrollment = 
4270,what day in october was game number 4 with under 3 points?, select count october from table where game = 4 and points < 3 , select count score from table where game < 4 and points = 3 
4271,which tournament was played on 12 february 2001?, select tournament from table where date = 12 february 2001 , select tournament from table where date = 12 february 2001 
4272,what is mike smith's to par?, select to par from table where player = mike smith , select to par from table where player = mike state 
4273,where was steve stricker from?, select place from table where player = steve stricker , select place from table where player = steve steve 
4274,what is the date of the game where the cavaliers have a record of 15-27?, select date from table where record = 15-27 , select date from table where record = grizzlies 
4275,who is from spain with a to par of e?, select player from table where to par = e and country = spain , select player from table where to par = e and country = spain 
4276,when the clippers are the team how many games are there?, select count game from table where team = clippers , select count game from table where team = charlotte 
4277,what was the date of the game against kansas city chiefs?, select date from table where opponent = kansas city chiefs , select date from table where against = kansas city of france 
4278,what was the october 22 record?, select record from table where date = october 22 , select record from table where date = october 22 
4279,how many high points where date is february 19, select count high points from table where date = february 19 , select count high points from table where date = february 19 
4280,what was the name of the episode with a production code of 3ajn20?, select title from table where production code = 3ajn20 , select title from table where production code = mike 
4281,"when fitzroy was the home team, how much did the away team score?", select away team score from table where home team = fitzroy , select away team score from table where home team = fitzroy 
